KEY,en,ja,fr,nl,zh_TW,pl_pl,de,pt_br,uk_UA,ru_RU
TOP_BAR_TITLE_SETTINGS_MENU,"Settings menu","設定メニュー","","","","","","","",""
TOP_BAR_TITLE_PROJECT_SETTINGS_MENU,"Project settings menu","プロジェクトの設定メニュー","","","","","","","",""
STATUS_UNSAVED_CHANGES,"Unsaved changes!","","","","","","","","",""
STATUS_CHANGES_SAVED,"Changes saved!","","","","","","","","",""
BUTTON_CANCEL,"Cancel","キャンセル","","","","","","","",""
BUTTON_SAVE,"Save","保存","","","","","","","",""
SECTION_GENERAL,"General settings","","","","","","","","",""
SETTING_ZEN_MODE,"Zen mode","","","","","","","","",""
TOOLTIP_SETTING_ZEN_MODE,"Zen mode hides certain elements and creates a more minimized looking layout.","","","","","","","","",""
SETTING_LANGUAGE,"Language","言語","","","","","","","",""
TOOLTIP_SETTING_LANGUAGE,"Change the language of the UI.","","","","","","","","",""
CLOSE_DIALOG_TEXT,"You have unsaved changes, do you want to save these before closing?","","","","","","","","",""
CLOSE_DIALOG_BUTTON_CANCEL,"Don't save","","","","","","","","",""
CLOSE_DIALOG_BUTTON_OK,"Save","","","","","","","","",""
EMPTY,"","","","","","","","","",""
