KEY,en,ja,fr,nl,zh_TW,pl_pl,de,pt_br
TITLE_NEW_PROJECT,"New project","新しいプロジェクト","Nouveau projet","Nieuw project","新專案","Nowy projekt","Neues Projekt","Novo projeto"
TITLE_RECENT_PROJECTS,"Recent projects","最近のプロジェクト","Projets récents","Recente projecten","","Ostatnie projekty","Zuletzt geöffnete Projekte","Projetos recentes"
BUTTON_NEW_HORIZONTAL_FHD_PROJECT,"New 1080p (landscape)","新1080p　（横）","Nouveau 1080p (paysage)","Nieuw 1080p (landschap)","","Nowy 1080p (poziomy)","Neues 1080p (Landschaft)","Novo 1080p (paisagem)"
BUTTON_NEW_VERTICAL_FHD_PROJECT,"New 1080p (portrait)","新1080p　（縦）","Nouveau 1080p (portrait)","Nieuw 1080p (portret)","","Nowy 1080p (pionowy)","Neues 1080p (Porträt)","Novo 1080p (retrato)"
BUTTON_NEW_HORIZONTAL_4K_PROJECT,"New 4K (landscape)","新４K　（横）","Nouveau 4K (paysage)","Nieuw 4k (landschap)","","Nowy 4k (poziomy)","Neues 4k (Landschaft)","Novo 4K (paisagem)"
BUTTON_NEW_VERTICAL_4K_PROJECT,"New 4K (portrait)","新４K　（縦）","Nouveau 4K (portrait)","Nieuw 4k (portret)","","Nowy 4k (pionowy)","Neues 4k (Porträt)","Novo 4K (retrato)"
BUTTON_NEW_CUSTOM_PROJECT,"New custom","新カスタム","Nouveau personnalisé","","","","","Novo personalizado"
BUTTON_OPEN_PROJECT,"Open project","プロジェクトをを開く","Ouvrir un projet","Open project","","Otwórz projekt","Projekt öffnen","Abrir projeto"
BUTTON_SUPPORT_PROJECT,"Support this project","このプロジェクトを支援する","Supporter ce projet","Steun dit project","","Wesprzyj ten projekt","Unterstütze dieses Projekt","Apoie este projeto"
POPUP_CUSTOM_PROJECT_TITLE,"Custom project","カスタムプロジェクト","","","","","",""
POPUP_CUSTOM_PROJECT_NAME,"Project title:","プロジェクトのタイトル：","","","","","",""
POPUP_CUSTOM_PROJECT_SIZE,"Project size:","プロジェクトのサイズ：","","","","","",""
POPUP_CUSTOM_PROJECT_BUTTON_CANCEL,"Cancel","キャンセル","","","","","",""
POPUP_CUSTOM_PROJECT_BUTTON_OK,"OK","了解","","","","","",""
POPUP_CUSTOM_PROJECT_TOOLTIP_X,"Width in pixels for the project.","プロジェクトの幅（ピクセル）","","","","","",""
POPUP_CUSTOM_PROJECT_TOOLTIP_Y,"Height in pixels for the project.","プロジェクトの高さ（ピクセル）","","","","","",""
UNTITLED_PROJECT_TITLE,"Untitled project","新プロジェクト","","","","","",""
EXPLORER_OPEN_PROJECT,"Open project","プロジェクトを開く","","","","","",""
EMPTY,"","","","","","","",""
